,amazon_title,amazon_author,amazon_rating,amazon_reviews count,amazon_isbn-10,amazon_price
2354,Wings of Fire: An Autobiography of Abdul Kalam,by Arun Tiwari,4.6,2133.0,8173711461,194.0
2355,Steve Jobs,by Walter Isaacson,4.6,693.0,034914043X,302.0
2356,Mein Kampf,by Adolf Hitler,4.0,480.0,8172345429,89.0
2357,Becoming,by Michelle Obama - Import,4.8,56.0,0241334144,835.0
2358,Elon Musk: How the Billionaire CEO of Spacex and Tesla is Shaping Our Future,by Ashlee Vance,4.5,725.0,0753555638,343.0
2359,"Three Thousand Stitches: Ordinary People, Extraordinary Lives",by Sudha Murty,4.4,360.0,0143440055,129.0
2361,Biography: Dhirubhai Ambani,by RPH Editorial Board,3.5,35.0,9350122537,27.0
2362,Alibaba: The House that Jack Ma Built,by Duncan Clark,4.2,142.0,0062413406,329.0
2363,Mahatma Gandhi Autobiography: The Story Of My Experiments With Truth,by Mahatma Gandhi,4.4,247.0,8172343116,99.0
2364,The Theory of Everything,by Stephen Hawking - Special Edition,4.5,534.0,8179925919,133.0
2365,Shoe Dog: A Memoir by the Creator of NIKE,by Phil Knight,4.6,374.0,1471146723,275.0
2366,Swami Vivekananda: A Biography,by Swami Vivekananda,3.7,50.0,9384401102,144.0
2367,Abraham Lincoln: A Complete Biography (General Press),by Lord Charnwood,4.0,44.0,9380914253,244.0
2368,Brief Answers to the Big Questions,by Stephen Hawking,4.7,184.0,1473695988,225.0
2369,The Dhoni Touch: Unravelling the Enigma That Is Mahendra Singh Dhoni,by Bharat Sundaresan,4.6,85.0,0143440063,147.0
2370,Indra Nooyi - A Biography,by Annapoorna,4.2,73.0,8170289726,145.0
2371,Adolf Hitler: A Life From Beginning to End (World War 2 Biographies Book 1),by Hourly History,4.1,593.0,B01M2Y9QZE,199.0
2372,India’s Most Fearless: True Stories of Modern Military Heroes,by Shiv Aroor,4.7,274.0,0143440446,129.0
2373,Turning Points : A Journey Through Challanges: A Journey Through Challenges,by A.P.J. Abdul Kalam - Abridged,4.7,409.0,9350293471,135.0
2374,A Brief History of Time: From Big Bang to Black Holes,by Stephen Hawking,4.4,779.0,0553175211,199.0
2375,The Autobiography of Benjamin Franklin,by Benjamin Franklin,4.1,253.0,8175993286,99.0
2376,The Tata Saga: Timeless Stories From India's Largest Business Group,by Penguin Books India,5.0,3.0,0670091758,374.0
2377,The Man Who Saved India,by Hindol Sengupta,4.6,29.0,0670089907,519.0
2378,The Diary of a Young Girl,by Anne Frank,4.5,754.0,8172345194,68.0
2379,Notes of a Dream: The Authorized Biography of A.R. Rahman,by Krishna Trilok - Import,4.4,64.0,0670091162,329.0
2381,The Diary of a Young Girl,by Anne Frank,4.5,754.0,8193387600,59.0
2382,Think and Grow Rich,by Napoleon Hill,4.6,3603.0,935266373X,121.0
2383,The Story of My Life,by Helen Keller,4.3,102.0,8175994037,159.0
2384,Sadhguru: More than a Life,by Arundhathi Subramaniam,4.5,123.0,0143421123,266.0
2385,Alexander the Great,by Jacob Abbott,4.0,24.0,8175993146,99.0
2386,Grinding It Out: The Making of McDonald's,by Ray Kroc,4.5,21.0,1250127505,280.0
2387,My Journey: Transforming Dreams into Actions,by A.P.J. Abdul Kalam,4.7,587.0,8129124912,180.0
2388,I Am Malala: The Girl Who Stood Up for Education and was Shot by the Taliban,by Malala Yousafzai,4.6,346.0,1780226586,182.0
2390,Kalpana Chawla: A Life,by Anil Padmanabhan,4.4,29.0,0143335863,115.0
2391,Faster than Lightning My Story,by Usain Bolt,4.6,91.0,0008154201,218.0
2392,Without Fear,by Kuldip Nayar,4.7,95.0,9350292203,170.0
2393,A Century is not Enough: My Roller-coaster Ride to Success,by Sourav Ganguly - Illustrated,4.6,322.0,9386228564,363.0
2395,Biography: Dr BR Ambedkar,by RPH Editorial Board,3.3,4.0,9350122529,32.0
2396,"I, Steve - Steve Jobs In His Own Words",by George Beahm,3.7,58.0,9350292009,114.0
2397,Mossad,by Michael Bar-Zohar - Import,4.6,635.0,8184958455,348.0
2398,Narendra Modi: A political Biography,by Andy Marino,4.4,92.0,9351770257,253.0
2399,"Swami vivekananda Jivan charitra in Gujarati, Biography of vivekananda Gujarati",by SEVA,,,B07KN3656G,199.0
2400,My Brief History,by Stephen Hawking - Import,4.4,94.0,0857502638,132.0
2401,Autobiography of a Yogi,by Paramhansa  Yogananda,4.6,1262.0,8193387678,79.0
2402,12 Years a Slave,by Solomon Northup,4.5,40.0,8175994479,99.0
2403,"30 Women in Power: Their Voices, Their Stories",by Naina Lal Kidwai - Import,4.4,41.0,8129141876,247.0
2404,Dare to Be: 14 Fearless Women Who Gave Wings to Their Dreams,by Rinku Paul,4.1,19.0,8184007566,218.0
2405,The Motorcycle Diaries,by Ernesto 'Che' Guevara,4.5,204.0,0007272901,182.0
2406,Challenging Destiny,by Medha Deshmukh Bhaskaran,4.4,54.0,8193266706,379.0
2407,Albert Einstein: A Biography,by Alice Calaprice,4.3,44.0,8184953542,263.0
2408,Chase Your Dreams,by Sachin Tendulkar,4.8,15.0,9351951995,149.0
2409,Touch the Sky: The inspiring stories of women from across India who are writing...,by Rashmi Bansal - Abridged,3.7,38.0,9386850702,109.0
2411,You are the Best Friend,by Ajay K. Pandey,4.7,648.0,9386850559,93.0
2412,Genius Biographies,by Ankesh Kothari - Import,5.0,5.0,9352069757,240.0
2413,Playing It My Way,by Sachin Tendulkar - Abridged,4.5,2064.0,1473605172,268.0
2414,You Are Born to Blossom,by A.P.J Abdul Kalam,4.6,209.0,818430336X,150.0
2415,Indira: The Life of Indira Nehru Gandhi,by Katherine Frank,4.4,36.0,0007259301,365.0
2416,Karmayogi: A Biography of E. Sreedharan,by M S Ashokan,4.2,101.0,0143425307,207.0
2417,Reham Khan,by Reham Khan - Import,3.8,24.0,9353023211,287.0
2418,Bihar Diaries: The True Story of How Bihar's Most Dangerous Criminal Was Caught,by Amit Lodha,4.7,99.0,0143444352,173.0
2419,Life Without Limits: Inspiration for a Ridiculously Good Life,by Nick Vujicic,4.5,96.0,0307589749,430.0
2420,Roads to Mussoorie,by Ruskin Bond,4.2,52.0,812910699X,195.0
2421,The Nationalist: How A.M. Naik Overcame Great Odds to Transform Larsen &Toubro...,by Minhaz Merchant,3.9,26.0,9352772881,474.0
2422,Ronaldo: Updated Edition (Luca Caioli),by Luca Caioli - Import,5.0,1.0,1785784226,352.0
2423,Hit Refresh: The Quest to Rediscover Microsoft’s Soul and Imagine a Better Future...,by Satya Nadella,4.5,204.0,000824765X,358.0
2424,Mother Teresa: The Untold Story,by Aroup Chatterjee,4.5,26.0,8175993316,199.0
2427,Cristiano Ronaldo: The Biography,by Guillem Balague,4.2,9.0,1409155064,420.0
2428,Devil's Advocate: The Untold Story,by Karan Thapar,4.1,70.0,9352779843,370.0
2429,Gitanjali,by Rabindranath Tagore,3.9,6.0,8172343671,99.0
2432,Wise and Otherwise: A salute to Life,by Sudha Murty - Abridged,4.5,299.0,0143062220,122.0
2433,Chanakya Neeti,by R.P. Jain,4.0,51.0,8184302118,187.0
2434,Dreams From My Father (Re-Issue) (Canons),by Barack Obama,4.4,46.0,1782119256,416.0
2435,Sam Walton: Made In America,by Sam Walton,4.3,104.0,0553562835,347.0
2436,"Here, There and Everywhere: Best-Loved Stories of Sudha Murty",by Murty Sudha,4.6,48.0,0143444344,144.0
2437,Losing My Virginity,by Sir Richard Branson,4.6,148.0,0753519550,365.0
2439,Wuthering Heights (Bantam Classics),by Bronte,4.1,244.0,0553212583,158.0
2440,Jerusalem: The Biography,by Simon Sebag Montefiore,4.6,17.0,1780220251,524.0
2441,My Journey,by Apj Abdul Kalam,4.6,61.0,8183224202,106.0
2442,Lone Fox Dancing: My Autobiography,by Ruskin Bond,4.8,99.0,9386338904,315.0
2443,An Unsuitable Boy,by Karan Johar,3.9,573.0,0143423096,383.0
2444,Inspiring Thoughts (Inspiring Thoughts Quotation Series),by A.P.J. Abdul Kalam,4.1,148.0,8170286840,120.0
2446,The Man Who Knew Infinity: A Life of the Genius Ramanujan,by Robert Kanigel,4.4,114.0,0349104522,515.0
2447,Gurudev: On the Plateau of the Peak: The Life of Sri Sri Ravi Shankar,by Bhanumathi Narasimhan,4.9,328.0,9386850575,201.0
2448,The Perils Of Being Moderately Famous,by Soha Ali Khan,4.0,160.0,0143439960,180.0
2449,AB de Villiers - The Autobiography,by A B de Villiers,4.6,226.0,1509842764,358.0
2452,Dr.B.R.Ambedkar,by Maple Press,4.7,8.0,9350334062,47.0
2453,"The Prisoner in His Palace: Saddam Hussein, His American Guards, and What History...",by Will Bardenwerper,5.0,3.0,1501117831,264.0
2454,Freedom In Exile: The Autobiography of the Dalai Lama of Tibet,by The Dalai Lama,4.5,26.0,0349111111,435.0
2455,Ronaldo - 2018 Updated Edition: The Obsession For Perfection (Luca Caioli),by Luca Caioli,5.0,9.0,1785782312,359.0
2456,The Coalition Years,by Pranab Mukherjee,3.6,39.0,8129149052,325.0
2457,Unbreakable,by Mary Kom,4.6,158.0,9351160092,145.0
2458,"Tuesdays With Morrie: An old man, a young man, and life's greatest lesson",by Mitch Albom,4.7,574.0,0751527378,152.0
2460,The Accidental Prime Minister: The Making and Unmaking of Manmohan Singh (City...,by Sanjaya Baru,4.0,333.0,0143424068,315.0
2461,281 and Beyond,by VVS Laxman,4.6,22.0,9387578771,375.0
2462,Adi Shankaracharya: Hinduism's Greatest Thinker,by Pavan K Varma,4.3,72.0,8193655613,356.0
2463,The Radical in Ambedkar: Critical Reflections,by Anand Teltumbde,4.8,7.0,0670091154,619.0
2464,Messi 2018 (Luca Caioli),by Luca Caioli,5.0,7.0,1785782304,319.0
2465,Mirza Ghalib,by Gulzar,4.4,59.0,8129114119,295.0
2469,My Inventions: The Autobiography of Nikola Tesla (DELUXE EDITION),by Nikola Tesla,3.5,21.0,9388118189,208.0
2471,My Life Fidel Castro,by Fidel Castro,4.8,15.0,014102626X,519.0
2474,Nelson Mandela: A Biography,by Peter Limb,3.7,5.0,8184953615,214.0
2475,Hema Malini: Beyond the Dream Girl,by Ram Kamal Mukherjee,4.4,14.0,9352773225,320.0
2476,Pride & Prejudice,by Jane Austen,4.3,352.0,8172344503,79.0
2479,My India: Ideas for the Future : Notes for the Future,by A P J Abdul Kalam,4.9,50.0,0143333534,161.0
2480,Messi: Updated Edition (Luca Caioli),by Luca Caioli - Import,,,178578420X,289.0
2482,Neil Armstrong (Know About Series),by Maple Press,5.0,2.0,9350334259,47.0
2483,No Spin: My Autobiography,by Shane Warne,3.8,14.0,1785037714,489.0
2486,Healed: How Cancer Gave Me a New Life,by Manisha Koirala,4.5,8.0,0670091979,331.0
2487,Beyond 2020,by A.P.J. Abdul Kalam,4.4,63.0,0143426060,255.0
2488,Manto-Saheb: Friends and Enemies on the Great Maverick,by Speaking Tiger Publishing,4.6,3.0,9388070259,370.0
2489,Buried Seeds: A Chef’s Journey: The Story of Vikas Khanna,by Karan Bellani,4.5,26.0,8183284973,297.0
2490,Rekha: The Untold Story,by Yasser Usman,3.7,72.0,8193284186,256.0
2493,Biography of Swami Vivekananda,by RPH Editorial Board,3.4,6.0,9350126893,29.0
2494,How to Memorize Anything: The Ultimate Handbook to Enlighten and Improve Your...,by Aditi Singhal,4.4,147.0,8184005210,242.0
2495,Diana: Her True Story--in Her Own Words,by Andrew Morton,3.7,10.0,1501169734,578.0
2496,The Portfolio Book of Great Indian Business Stories: Riveting Tales of  Business...,by Penguin,3.6,24.0,0143425242,319.0
2497,Biography: S.C. Bose,by RPH Editorial Board,3.1,7.0,9350122510,29.0
2499,Ignited Minds: Unleashing the power within india,by A.P.J. Abdul Kalam,4.7,521.0,0143424122,106.0
2500,Winning Like Virat: Think and Succeed like Kohli,by Abhirup Bhattacharya - Import,4.1,34.0,8129146061,195.0
2501,Walt Disney: A Life From Beginning to End (Biographies of Business Leaders Book 2),by Hourly History,3.0,2.0,B079N42BH1,199.0
2502,We Are Displaced: My Journey and Stories from Refugee Girls Around the World,by Malala Yousafzai - Import,5.0,4.0,1474610048,258.0
2503,What Can I Give?: Life lessons from My Teacher - Dr A.P.J. Abdul Kalam,by Srijan Pal Singh,4.9,112.0,0143334263,212.0
2504,Dongri to Dubai: Six Decades of the Mumbai Mafia,by S. Hussain Zaidi,4.2,186.0,8174368949,295.0
2506,Of Counsel: The Challenges of the Modi-Jaitley Economy,by Arvind Subramanian,4.5,15.0,0670092096,357.0
2507,Galileo Galilei: A Life From Beginning to End (Scientist Biographies Book 3),by Hourly History,5.0,2.0,B072ZXHCSX,199.0
2508,"Immortal for A Moment: : Small Answers To Big Questions About Life, Love And...",by Natasha Badhwar,5.0,1.0,9386797283,218.0
2509,Dream with your Eyes Open: An Entrepreneurial Journey,by Ronnie Screwvala - Import,4.3,191.0,8129139944,195.0
2510,Own It: Oprah Winfrey in Her Own Words,by Anjali Becker,3.1,2.0,9352776615,225.0
2511,My Life: Albert Einstein (General Press),by GP Editors,5.0,3.0,9388118944,109.0
2512,The Red Sari: A Dramatised Biography of Sonia Gandhi,by Javier Moro,3.5,68.0,9351941035,242.0
2513,Jack Ma: A Biography of the Alibaba Billionaire,by Ryan Gardner,3.9,223.0,B077CC12C7,195.0
2514,The Tata Group: From Torchbearers to Trailblazers,by Dr. Shashank Shah,5.0,8.0,0670090670,433.0
2515,Pathways to Greatness,by A.P.J. Abdul Kalam,4.7,13.0,9352643836,165.0
2516,Swami Vivekananda: The Living Vedanta,by Chaturvedi Badrinath,4.2,18.0,0143062093,299.0
2517,Never Grow Up,by Jackie Chan - Import,5.0,4.0,1471177238,519.0
2518,Cleopatra: Daughter of the Nile (Classic Historical Fiction Book 3),by Colin Falconer,4.4,3.0,B004UGLPTA,449.0
2519,21 Lessons for the 21st Century,by Yuval Noah Harari,4.0,98.0,1787330672,368.0
2520,Inspiring Thoughts (Inspiring Thoughts Quotation Series),by Swami Vivekanand,4.2,306.0,8170289262,107.0
2521,Priyanka Chopra: The Dark Horse,by Bharathi S. Pradhan - Import,4.3,16.0,9352766253,372.0
2524,Haar Nahi Manoonga: Ek Atal Jeevan Gatha,by Vijai Trivedi,4.1,13.0,9351777618,219.0
2525,Che Guevara,by Richard L. Harris,4.8,7.0,8184952287,184.0
2526,Mother Teresa (Know About Series),by Maple Press,4.5,7.0,9350334097,48.0
2527,The Monk Who Became Chief Minister: The Definitive Biography of Yogi Adityanath,by Shantanu Gupta,4.1,51.0,9386606429,154.0
2528,Rocket Man: Elon Musk in His Own Words,by Jessica Easto,4.7,10.0,1572842415,225.0
2531,Nehru: The Invention Of India,by Shashi Tharoor,4.1,33.0,0670092002,354.0
2532,The Underage CEOs: Fascinating Stories of Young Indians Who Became CEOs in their...,by Ganesh V.,4.3,39.0,9351772268,326.0
2533,NR Narayana Murthy - A Biography,by Ritu Singh,3.8,63.0,9350641291,134.0
2534,Adolf Hitler  (Hindi),by MAHESH DUTT SHARMA,3.4,6.0,B01M7SMA2M,51.0
2535,Malala: My Story of Standing Up for Girls' Rights,by Malala Yousafzai - Import,5.0,1.0,1526361590,193.0
2536,Rajesh Khanna : The Untold Story of India's First Superstar,by Yasser Usman,4.4,43.0,0143423614,332.0
2538,Stephen Hawking: A Biography,by Kristine Larsen,4.5,6.0,8184953550,213.0
2539,Vivekananda: A Biography,by Swami Nikhilananda,4.1,14.0,8185301417,108.0
2540,The Science Book (Big Ideas),by Dorling Kindersley,4.8,16.0,1409350150,799.0
2541,Know About Newton (Know About Series),by Maple Press,4.8,6.0,9350334267,48.0
2542,Khullam Khulla: Rishi Kapoor Uncensored,by Rishi Kapoor,3.9,256.0,935264302X,316.0
2543,Meri Jeevan Yatra,by A.P.J. Abdul Kalam,4.7,146.0,9350487977,150.0
2546,Dawood's Mentor,by S Hussain Zaidi,,,0143425978,209.0
2547,Sri Vivekananda Jeevita Charitra(Telugu),by Sri Chiranthananda swamy,4.1,10.0,B00YIS2AOE,60.0
2548,Swami Vivekanandara Jeevana Charitre ( Kannada) (Vivekananda: A Biography),by Swami Somnathananda,4.7,5.0,9384883735,247.0
2550,Autobiography of a Yogi (Telugu),by Paramahansa Yogananda,4.7,114.0,8189955357,141.0
2551,Richard the Lionheart: A Life From Beginning to End (Royalty Biography Book 8),by Hourly History,4.0,32.0,B075RY4BFF,199.0
2552,Ratan Tata,by Prateeksha M. Tiwari,3.1,30.0,8128812866,135.0
2554,Ivory Throne: Chronicles of the House of Travancore,by Manu S. Pillai,4.3,127.0,9351776425,433.0
2555,Outstanding Sportsman's Biography: Usain Bolt,by Nevaeh Melancon - Import,,,9387513181,146.0
2556,Adolf Hitler  (Hindi),by MAHESH DUTT SHARMA,3.4,6.0,B01M7SMA2M,51.0
2557,Mahapurusho ka Bachpan,by Pran Nath Vanprasthi,3.3,10.0,8174830464,681.0
2559,Cristiano and Leo: The Race to Become the Greatest Football Player of All Time...,by Jimmy Burns,4.6,6.0,1509849130,389.0
2560,Warren Buffett,by Dinkar Kumar,3.3,15.0,9381063532,228.0
2561,The Business Book (Big Ideas),by DK,4.5,27.0,1409341267,669.0
2564,God Save the Hon'ble Supreme Court,by Fali S. Nariman,4.4,16.0,9386832623,455.0
2565,Netaji: Living Dangerously,by Kingshuk Nag,4.8,19.0,8129142163,146.0
2566,Lal Bahadur Shastri: A Life of Truth in Politics,by Srivastava C.P.,4.3,6.0,0195673514,945.0
2567,Mother Teresa ki Jeevni,by RPH Editorial Board,,,9350122650,32.0
2568,Richard the Lionheart: A Life From Beginning to End (Royalty Biography Book 8),by Hourly History,4.0,32.0,B075RY4BFF,199.0
2569,Leonardo Da Vinci,by Walter Isaacson - Import,4.2,58.0,1471166783,814.0
2570,The Messy Middle,by Scott Belsky,5.0,2.0,0241310172,687.0
2571,Captain Cool: The M.S. Dhoni Story - 4th Revised Edition,by Gulu Ezekiel,4.3,10.0,8193655648,199.0
2572,Don’t Kill Him! (Hindi): The Story of My Life with Bhagwan Rajneesh,by Ma Anand Sheela,4.0,13.0,8175993138,189.0
2573,Modern Classics My Autobiography (Penguin Modern Classics),by Charles Chaplin,4.0,44.0,0141011475,541.0
2574,Subhash Chandra Bose (Know About Series),by Maple Press,,,9350334143,48.0
2575,"Shirdi Sai Baba: Life, Philosophy & Teachings",by Satish C. Agarwal,4.1,10.0,8175994711,159.0
2576,M. S. Subbulakshmi: The Definitive Biography,by T. J. S. George,4.4,13.0,B01LWE08ZM,236.0
2578,Indira Gandhi,by Pupul Jayakar,3.7,12.0,0140114629,414.0
2579,Women in Sports (Women in Science),by Rachel Ignotofsky,5.0,1.0,1607749785,379.0
2580,Om Swami: As We Know Him,by Ismita Tandon,4.9,171.0,935029737X,315.0
2581,Meera Jiwani v Sahitya,by Giriraj Sharan Agarwal,5.0,3.0,8128803778,57.0
2582,Mera Aajeevan Karavas,by Vinayak Damodar Savarkar,5.0,2.0,8173156484,360.0
2583,Adolf Hitler: A Biography,by Mamta Sharma Ghuge,4.2,15.0,8131911500,119.0
2584,Alexander the Great: A Life From Beginning to End (Military Biographies Book 2),by Hourly History,3.9,6.0,B077GPFLCS,199.0
2585,Yuvraj singh The Test Of My Life,by Yuvraj Singh - Illustrated,4.7,212.0,818400298X,247.0
2586,Meena Kumari,by Vinod Mehta,4.1,35.0,935029625X,402.0
2588,Abraham Lincoln,by Pradeep Pandit,4.0,8.0,935048420X,119.0
2589,The Autobiography of a Stock,by Manoj Arora,4.7,192.0,9386867672,331.0
2590,Meri Kahani: Unbreakable,by M.C. Mary Kom,4.5,11.0,818322427X,155.0
2591,Edmund Kemper: The Life of the Co-Ed Killer (True Crime Biographies Book 3),by Hourly History,4.0,1.0,B078HVHR4G,199.0
2592,Meri Kahani: Unbreakable,by M.C. Mary Kom,4.5,11.0,818322427X,155.0
2593,M. S. Subbulakshmi: The Definitive Biography,by T. J. S. George,4.4,13.0,B01LWE08ZM,236.0
2595,Messi vs Ronaldo 2018: The Greatest Rivalry (Luca Caioli),by Luca Caioli - Import,4.5,2.0,1785782770,350.0
2596,Shoe Dog: Young Readers Edition,by Phil Knight,3.5,4.0,1471170101,379.0
2597,Vivekanand Ki Atmakatha,by Sankar,3.5,9.0,9350481464,225.0
2598,India’s Railway Man: A Biography of E. Sreedharan,by Rajendra B. Aklekar,4.2,42.0,8129145219,160.0
2599,Imperfect,by Sanjay Manjrekar - Import,4.4,92.0,9352774515,433.0
2600,Stephen Hawking: Extraordinary Life Lessons That Will Change Your Life Forever...,by Jamie Cooper,4.4,74.0,B013KJBEU2,233.0
2601,I Tagged Her in My Heart,by Anuj Tiwari - Import,4.7,224.0,8129149567,100.0
2602,Transcendence: My Spiritual Experiences with Pramukh Swamiji,by A P J Abdul Kalam,4.8,165.0,9351774058,360.0
2603,Sanjay Dutt: The Crazy Untold Story of Bollywood’s Bad Boy,by Yasser Usman,4.2,37.0,9386228580,293.0
2604,Amar Karantiveer Chandrashekhar Azad,by Bharat Bhushan,4.6,6.0,9350483408,90.0
2605,A Biography on The Life & Times of Steve Jobs (Bite Sized Biographies Book 3),by Christy Branson,5.0,1.0,B00RM1YGRS,211.0
2607,A Thousand Splendid Suns,by Khaled Hosseini,4.5,729.0,1408844443,374.0
2608,Pablo Escobar: My Father,by Juan Pablo Escobar - Import,4.8,6.0,1785035142,499.0
2609,Super 30 Anand Ki Sangharsh Gatha,by Anand Kumar,4.8,29.0,9351868737,135.0
2610,Rajinikanth: The Definitive Biography,by Naman Ramachandran,3.0,10.0,0143421115,341.0
2611,Indira: Bharat Ki Sabse Shaktishali Pradhanmantri,by Sagarika Ghosh,1.0,23.0,9386228599,283.0
2612,Jawaharlal Nehru (Know About Series),by Maple Press,,,9350333341,47.0
2613,My Experiments With Truth,by Mahatma Gandhi,4.2,150.0,9380816804,120.0
2615,Don'T Kill Him!: The Story Of My Life With Bhagwan Rajneesh,by Ma Anand Sheela,3.6,32.0,8172344449,189.0
2616,Turning Points (Hindi),by A.P.J. Abdul Kalam,4.7,409.0,9350641003,160.0
2617,मेरा संघर्ष (Mera Sangharsh),by एडोल्फ हिटलर (Adolf Hitler),,,8184640757,160.0
2618,Dr Bhimrao Ambedkar,by Pankaj Kishor,5.0,1.0,8177210912,120.0
2619,Fantastically Great Women Who Made History Activity Book (Bloomsbury Activity...,by Kate Pankhurst - Import,4.0,1.0,1408899159,163.0
2620,Charlie Chaplin: A Life From Beginning to End (Biographies of Actors Book 3),by Hourly History,5.0,2.0,B074P5K9MQ,199.0
2621,Amma: Jayalalithaa's Journey From Movie Star To Political Queen,by Vaasanthi,3.9,75.0,8193284143,159.0
2622,Who is J.K. Rowling?,by Pam Pollack,4.4,6.0,0448458721,128.0
2624,BABASAHEB AMBEDKAR KI SNGHARSH YATRA AUR SANDESH,by Dr.M.L.Shahare And Dr.Nalini Anil,5.0,1.0,B07464Z4ZN,400.0
2625,Bharat ke Mahan Amar Krantikari Madanlal Dhingra Aur Shahid Udham Singh,by Avdesh Kumar Chaturvedi,3.6,2.0,8128817469,56.0
2626,My Inventions: The Autobiography of Nikola Tesla,by Nikola Tesla,3.8,15.0,1603866035,359.0
2627,Know About Chanakya (Know About Series),by Maple Press,,,9350334445,47.0
2628,Warren Buffet,by Atul Kahate,4.4,58.0,8184985673,184.0
2629,Grace Kelly: A Life From Beginning to End (Biographies of Actors Book 2),by Hourly History,4.0,22.0,B0788KV729,199.0
2630,Tumhare Sharir ki Kahani,by Laxminarain Sharma,,,8121616778,67.0
2631,"Duniya Se Nirala Houn, Jaadugar Matwaala Houn!",by Parag Dimri - Import,4.6,19.0,1644292246,200.0
2632,Tumhare Sharir ki Kahani,by Laxminarain Sharma,,,8121616778,67.0
2633,"Duniya Se Nirala Houn, Jaadugar Matwaala Houn!",by Parag Dimri - Import,4.6,19.0,1644292246,200.0
2634,Albert Einstein: A Life From Beginning to End (Scientist Biographies Book 1),by Hourly History,4.8,5.0,B0722JB1JL,199.0
2636,Warren Buffett: The Life and Business Lessons of Warren Buffett,by George Ilian,4.3,571.0,B00T21I9LK,64.0
2637,India Moving: A History of Migration,by Chinmay Tumbe - Import,4.9,17.0,0670089834,389.0
2638,Vajpayee: Ek Raajneta Ke Agyaat Pehlu (Hindi  translation of 'The Untold Vajpayee'),by Ullekh N. P,4.7,4.0,9387383741,280.0
2639,Dharmendra: A Biography: Not Just a He-Man,by Rajiv M. Vijayakar,3.9,5.0,9353332982,470.0
2640,Ludwig van Beethoven: A Life From Beginning to End (Composer Biographies Book 2),by Hourly History,5.0,1.0,B07F7XZW29,199.0
2641,Sardar Vallabhabhai Patel India's Iron Man,by Balraj Krishna,4.3,4.0,8129124505,349.0
2642,Steve Jobs: The man who thought different,by Karen Blumenthal,4.2,35.0,1408853302,214.0
2643,Lauhpurush Sardar Vallabhbhai Patel,by Sushil Kapoor,5.0,2.0,9350484080,143.0
2644,71 Famous Scientists: Who Spent Their Lives for Our Better Tomorrow,by VS Editorial Board,4.2,6.0,9350571749,143.0
2645,Horatio Nelson: A Life From Beginning to End (Military Biographies Book 5),by Hourly History,3.9,23.0,B0784X2ZL5,199.0
2646,Good Night Stories for Rebel Girls,by Elena Favilli,4.7,269.0,014198600X,600.0
2647,Nelson Mandela: A Biography,by Mamta Sharma,4.1,6.0,8131911322,108.0
2648,Bal Thackeray and the Rise of the Shiv Sena,by Vaibhav Purandare,3.7,13.0,8174369589,280.0
2649,World Famous CEO's and Their Business Mantras (FAF),by Vikas Khatri,3.4,63.0,8122313221,114.0
2650,Indira: India’s Most Powerful Prime Minister,by Sagarika Ghose,1.4,389.0,9386228343,508.0
2651,Know About Dr. Jagadish Chandra Bose (Know About Series),by Maple Press,,,9350334240,47.0
2652,Raj Kapoor: The One and Only Showman,by Ritu Nanda,2.0,2.0,9352770404,457.0
2654,Wings of Fire #01: The Dragonet Prophecy,by Tui T. Sutherland,4.7,9.0,9352750853,395.0
2655,Rani Laxmi Bai,by Maple Press,3.3,3.0,9350334119,48.0
2656,Portrait Of A Director:satyajit Ray,by Marie Seton,4.8,8.0,014302972X,407.0
2657,Life's Amazing Secrets: How to Find Balance and Purpose in Your Life,by Gaur Gopal Das,4.7,868.0,0143442295,165.0
2658,The Girl in Room 105,by Chetan Bhagat,4.1,1493.0,1542040469,99.0
2659,The Subtle Art of Not Giving a F*ck,by Mark Manson,4.3,1170.0,0062641549,264.0
2660,The Power of your Subconscious Mind,by Joseph Murphy,4.5,4985.0,8192910962,65.0
2662,General Knowledge 2019,by Manohar Pandey,4.2,517.0,9312147307,19.0
2663,Think and Grow Rich,by Napoleon Hill,4.6,3601.0,8192910911,64.0
2664,The Alchemist,by Paulo Coelho,4.6,3825.0,8172234988,182.0
2665,Attitude Is Everything: Change Your Attitude ... Change Your Life!,by Jeff Keller,4.6,749.0,9351772071,112.0
2666,Rich Dad Poor Dad: What the Rich Teach their Kids About Money that the Poor and...,by Robert T Kiyosaki,4.5,3565.0,1612680194,219.0
2667,"Three Thousand Stitches: Ordinary People, Extraordinary Lives",by Sudha Murty,4.4,360.0,0143440055,129.0
2669,Pyjamas are Forgiving,by Twinkle Khanna,3.4,232.0,9386228971,170.0
2670,Mein Kampf,by Adolf Hitler,4.0,480.0,8172345429,89.0
2671,Wings of Fire: An Autobiography of Abdul Kalam,by Arun Tiwari,4.6,2132.0,8173711461,194.0
2672,The Theory of Everything,by Stephen Hawking - Special Edition,4.5,534.0,8179925919,133.0
2673,The Monk Who Sold His Ferrari,by Robin Sharma,4.6,2913.0,817992162X,107.0
2674,"The 5 AM Club: Own Your Morning, Elevate Your Life",by Robin Sharma,4.3,146.0,9387944891,199.0
2676,Brief Answers to the Big Questions,by Stephen Hawking,4.7,184.0,1473695988,225.0
2677,Manorama Yearbook 2019 ( English),by  Philip Mathew,4.5,38.0,8193769716,228.0
